,noc,name,lnk,dis,Date of Birth,Age,Gender,Sport Class,Languages spoken,Birth Country,Debut,Ambition,Hero,Influence,Philosophy,Award,Injuries
0,MGL,AAJIM Munkhbat,../../../en/results/judo/athlete-profile-n1725243-aajim-munkhbat.htm,JUD, 25 Jan 1989,32.0, Male, B3,Mongolian,,,,,,,,
1,CHI,ABARZA Alberto,../../../en/results/swimming/athlete-profile-n1347418-abarza-alberto.htm,SWM, 11 Dec 1984,36.0, Male, S2,Spanish,"
 Chile","2014 for Chile (Athlete, 10 Sep 2019)","To compete at the 2020 Paralympic Games in Tokyo. (vergara240.udp.cl, 03 Sep 2020)","Chilean tennis player Marcelo Rios, Brazilian swimmer Cesar Cielo. (Athlete, 10 Sep 2019)","Former coach Sebastian Cardenas. (Athlete, 10 Sep 2019)","""Swimming is not an individual sport. Certainly I am the one who swims, but behind me there is a huge team and every single one is essential."" (Teleton Chile, 10 Sep 2016)","He was the Chilean flag bearer at the opening ceremony of the 2019 Parapan American Games in Lima, Peru. (andina.pe, 24 Aug 2019)",
2,AZE,ABASLI Namig,../../../en/results/judo/athlete-profile-n1287410-abasli-namig.htm,JUD, 12 Sep 1997,23.0, Male, B2,Azerbaijani,,,,,,,,
3,ALG,ABASSI Mostefa,../../../en/results/wheelchair-basketball/athlete-profile-n1375083-abassi-mostefa.htm,WBK, 25 Sep 1977,43.0, Male, 2.5,French,"
 Algeria","2015 for Algeria, in Algeria (Athlete, 05 May 2016)",,"US basketballer LeBron James. (Athlete, 26 Aug 2021)","His father. (Athlete, 26 Aug 2021)","""What doesn't kill you makes you stronger."" (Athlete, 05 May 2016)",,
4,ALG,ABBAD Abderraouf,../../../en/results/wheelchair-basketball/athlete-profile-n1375096-abbad-abderraouf.htm,WBK, 27 Oct 1986,34.0, Male, 1.0,Arabic,"
 Algeria",,,"His father. (Athlete, 26 Aug 2021)","Algerian wheelchair basketball player Nabil Gueddoun. (Athlete, 26 Aug 2021)",,,
5,EGY,ABDALLA Ashraf,../../../en/results/sitting-volleyball/athlete-profile-n1706815-abdalla-ashraf.htm,VBS, 24 Feb 1974,47.0, Male, VS1,Arabic,"
 Egypt",,,"Egyptian volleyball player Abdallah Abdelsalam. (Athlete, 25 Aug 2021)",,,,
6,ALG,ABDELALI Samiha,../../../en/results/wheelchair-basketball/athlete-profile-n1363523-abdelali-samiha.htm,WBK, 25 Apr 1988,33.0, Female, 2.5,Arabic,"
 Algeria","2015 for Algeria Against South Africa, African Championships in Algiers, Algeria (Athlete, 25 Aug 2021, 14 Aug 2016)",,"Her mother, and coach Abbaz Selim. (Athlete, 25 Aug 2021, 14 Aug 2016)","""My teacher Chikay."" (Athlete, 14 Aug 2016)","""One day for you and one day against you."" (Athlete, 14 Aug 2016)","She was named on the Women's All-Star team at the 2020 Afro Paralympic Qualifiers in Johannesburg, South Africa. (iwbf.org, 12 Mar 2020)",
7,EGY,ABDELAZIZ Gihan,../../../en/results/powerlifting/athlete-profile-n1706596-abdelaziz-gihan.htm,PWL, 29 Oct 1974,46.0, Female, PWL,Arabic,"
 Egypt","1998 for Egypt, World Championships in Dubai, United Arab Emirates (Athlete, 12 Jul 2019)",,"Her mother. (Athlete, 12 Jul 2019)","Her husband. (Athlete, 12 Jul 2019)",,,
8,EGY,ABDELHADY Hany,../../../en/results/powerlifting/athlete-profile-n1465669-abdelhady-hany.htm,PWL, 19 May 1980,41.0, Male, PWL,Arabic,"
 Egypt","2007 for Egypt, in Egypt (Athlete, 12 Jul 2019)","To win a medal at the 2020 Paralympic Games in Tokyo, to set a world record, and to compete at the 2024 Paralympic Games in Paris. (rosaelyoussef.com, 27 Apr 2021; Athlete, 25 Aug 2021)","Coach Shabaan Desouky. (Athlete, 03 May 2021)","His family. (Athlete, 25 Aug 2021)","""Focus on your goal, work on reaching it, and renew it every now and then to encourage yourself, and eventually you will reach it."" (rosaelyoussef.com, 18 Aug 2020)",,"He sustained a shoulder injury at the 2016 Paralympic Games in Rio de Janeiro. He required surgery as a result and was away from the sport until 2018. (Athlete, 25 Aug 2021; rosaelyoussef.com, 18 Aug 2020)"
9,ALG,ABDELLAOUI Cherine,../../../en/results/judo/athlete-profile-n1373730-abdellaoui-cherine.htm,JUD, 28 Aug 1998,23.0, Female, B3,,,,,,,,,
